"county","bf_acreage","county_lower","county_name","countyfip","infant_pop","num_child_tested","per_child_tested","num_highlead","per_highlead_h","acstotpop","acsipovbas","acseducbas","acstothh","acstothu","minorpop","minorpct","lowincome","lowincpct","lesshs","lesshspct","lingiso","lingisopct","under5","under5pct","over64","over64pct","pre1960","pre1960pct","vuleopct","vuleo","dispeo","dslpm","cancer_h","ptraf","pwdis","pnpl","prmp","ptsdf","ozone","pm25_h","region","arealand","areawater","npl_cnt","tsdf_cnt","shape_length","shape_area","county.y"
"Durham",602.34,"durham","DURHAM",37063,24275,4190,0.173,24,0.006,2469.73684210526,2451.28947368421,1682.92105263158,977.236842105263,1044.23684210526,1560.71052631579,0.585691929581632,807.5,0.337630071414439,198.236842105263,0.14519465269679,41.8157894736842,0.0567095708505474,192.342105263158,0.0723315528753792,238.947368421053,0.110161093807054,138.868421052632,0.194407026637892,0.461661000498035,1188.08022539179,313.296656938105,0.411770585931579,37.5503229688176,545.38250739315,0.0156476790648477,0.0977588640324963,0.609782466324765,2.41982173533973,43.4061712418301,8.91265517664023,4,8308277.76315789,620056.289473684,0,0.578947368421053,17979.9759054093,13671910.2066688,"durham"
"Edgecombe",47.68,"edgecombe","EDGECOMBE",37065,3720,1068,0.287,9,0.008,1126.32432432432,1106.94594594595,774.189189189189,454.864864864865,529.027027027027,807.72972972973,0.724957086594898,597.432432432432,0.553502442906619,159.162162162162,0.205714809873993,5,0.00958965331765838,70.4054054054054,0.0623167313910688,212.945945945946,0.203321163037595,151.972972972973,0.307115738777317,0.639229764750758,706.699015650263,307.753672619815,0.225043994932648,30.1421369801818,164.800333583634,0.00213812853090841,0.0154652101967135,0.741303987807672,0.541310544089815,41.0554161278926,7.85622801925213,4,20237358.6756757,75112.4054054054,0,0.0540540540540541,23447.5918355907,31039004.9266171,"edgecombe"
"Forsyth",1176.624,"forsyth","FORSYTH",37067,27558,4984,0.181,40,0.008,1528.85217391304,1480.8,1023.35652173913,603.669565217391,673.626086956522,710.817391304348,0.486323837290795,590.069565217391,0.429317854248021,123.695652173913,0.137444443440809,13.3913043478261,0.0271102970442664,97.2347826086957,0.0628608341956592,217.747826086957,0.145182239907755,180.808695652174,0.304676504107188,0.457820845769408,655.830054404347,114.308894120005,0.346950113011304,36.4917676608976,577.008724379609,0.00663495150573222,0.0266598246794043,0.575776991785915,3.0392612827034,45.7492004944587,8.36014282930316,4,4970546.10434783,71411.8260869565,0,0.165217391304348,11380.1667477901,7743452.5902644,"forsyth"
"Gaston",435.01,"gaston","GASTON",37071,15891,1707,0.107,11,0.006,1289.45918367347,1264.38775510204,895.051020408163,479.183673469388,537.336734693878,315.571428571429,0.273486358354961,463.15306122449,0.402419507300213,142.84693877551,0.181820718041824,8,0.0167597945559587,79.0510204081633,0.0593979995465426,197.438775510204,0.162196358272591,122.989795918367,0.257393564023526,0.337952932827587,395.572184979528,-61.1557087938515,0.398834704326531,40.0817543549732,349.149109543662,0.189221254897716,0.36236789106005,1.12654996343976,1.48256235911732,44.8247470988395,9.09235909225608,4,5653865.8877551,190790.62244898,0.0306122448979592,0.142857142857143,14204.62415532,8793398.12112654,"gaston"
"Guilford",647.893,"guilford","GUILFORD",37081,37826,8925,0.236,44,0.005,2064.875,2049.08333333333,1394.39583333333,786.3125,891.395833333333,1162.875,0.560780242271167,830.020833333333,0.424537412034826,201.604166666667,0.162630142504637,19.3958333333333,0.0297274226434087,150.708333333333,0.0702340364747582,274.916666666667,0.145951980498283,164.6875,0.218221675745349,0.492658827152996,999.97096013036,268.589911706166,0.326864554589583,35.4112457300882,333.948293335368,0.393971898686926,0.0145308091304705,0.122850630639576,1.18242014198268,44.9033567401961,8.21388835388128,4,13731467.4791667,236058.791666667,0,0.1875,20642.8319848876,21430838.4331821,"guilford"
"Halifax",357.97,"halifax","HALIFAX",37083,3354,869,0.259,8,0.009,1143.86666666667,1134.73333333333,782.7,467.5,553.866666666667,651.766666666667,0.543088119683008,584.133333333333,0.509822778830752,162.533333333333,0.202831226183036,1.06666666666667,0.00295209480802523,63.1666666666667,0.0519925374431608,213.9,0.197517087229979,147.7,0.324120112470455,0.52645544925688,620.226699735724,215.067839308747,0.262110709131755,32.2316759830235,110.233039742459,0.0510050058315365,0.011822360943659,0.455318967513162,0.633797878039396,40.6622493464052,7.8620494063927,4,19930831.7333333,475842.866666667,0,0.0666666666666667,23142.7631549578,31484089.1265763,"halifax"
"Harnett",56.21,"harnett","HARNETT",37085,11836,1410,0.119,20,0.014,1969.04166666667,1847.20833333333,1292.54166666667,686.75,785.166666666667,693.583333333333,0.358779003956035,785.333333333333,0.416218255119661,200.916666666667,0.154172505559702,9.125,0.0133345199958019,118.875,0.0599085726006048,273.166666666667,0.149272702748497,145.375,0.196110175394133,0.387498629537848,765.206752508807,67.7699785841925,0.205050629895833,34.3403929977313,56.7265000848567,0.110619500268609,0.0311738589911739,0.223000867986981,0.252576994070701,42.3827087962963,8.53564628767123,4,33237180.9583333,428960.041666667,0,0.0833333333333333,35079.6451696696,50770981.081007,"harnett"
"Iredell",128.3,"iredell","IREDELL",37097,12022,1940,0.161,6,0.003,1505.81355932203,1490.33898305085,1042.84745762712,584.966101694915,659.237288135593,437.525423728814,0.309198204299434,439.64406779661,0.3270256819344,111.050847457627,0.125034089683159,14.4576271186441,0.0236546552614745,79.6101694915254,0.0530902712311087,232.694915254237,0.157191335076033,105.796610169492,0.200111397068542,0.318111943116917,441.934128448428,-91.4267286244286,0.373027427093583,35.9252934166156,188.787278068593,0.00172345712009315,0.229991998129296,0.976339555554668,1.15217388949725,45.2833614489864,8.80650782447179,4,8803150,549942.593220339,0.0169491525423729,0.169491525423729,16390.9877570918,14228924.6738755,"iredell"
"Lee",60.83,"lee","LEE",37105,4600,782,0.17,14,0.018,1631.52941176471,1615.76470588235,1129.94117647059,595.882352941176,673.294117647059,626.705882352941,0.404784993611638,592.882352941176,0.380730411048916,179.117647058824,0.176939290310336,29.9411764705882,0.0681426833455518,90.9411764705882,0.0572831813870035,272.823529411765,0.165498054555575,86.8235294117647,0.145812680817441,0.392757702330277,613.328730634906,35.4391771697428,0.224291001501065,34.5522336068263,99.6944409146585,0.0827756680565608,0.023500616884435,0.451156135461296,1.06786307147768,42.4168975009612,8.36151021273167,4,26674988,430228.764705882,0,0.352941176470588,29569.3898923988,40993389.1711668,"lee"
"Lenoir",56.24,"lenoir","LENOIR",37107,3925,810,0.206,11,0.014,1155.23076923077,1124.92307692308,815.153846153846,477.435897435897,576.897435897436,638.410256410256,0.605828066613684,539.923076923077,0.519314818971066,158.128205128205,0.219554040204473,10.1538461538462,0.0198560789072096,60.6923076923077,0.0554174929821846,239.25641025641,0.203281156496271,169.410256410256,0.332851670930643,0.562571442792375,596.411861669726,187.227823327508,0.200839859362867,28.8787599365457,145.619851129244,0.00269211657744677,0.0178254649241318,0.471947921129257,0.246731874106584,40.1780809116809,7.69587914998244,4,16719825.3846154,123291.615384615,0,0.0512820512820513,22987.469496723,25336191.0748245,"lenoir"
